modell,eset,futas_par,spearman,top5_atfedes,top1_egyezes
logreg,587,1-2,0.6561403508771929,0.8,1
logreg,590,0-1,0.743859649122807,0.8,1
logreg,590,0-2,0.8754385964912281,0.8,1
logreg,590,1-2,0.7526315789473684,1.0,1
logreg,591,0-1,0.8719298245614034,1.0,1
logreg,591,0-2,0.9526315789473684,1.0,1
logreg,591,1-2,0.7894736842105263,1.0,1
logreg,598,0-1,0.7701754385964912,0.8,1
logreg,598,0-2,0.8350877192982457,0.8,1
logreg,598,1-2,0.8210526315789475,1.0,1
logreg,605,0-1,0.887719298245614,0.8,1
logreg,605,0-2,0.9140350877192982,0.8,0
logreg,605,1-2,0.863157894736842,1.0,0
logreg,609,0-1,0.7298245614035088,1.0,1
logreg,609,0-2,0.6491228070175438,0.8,1
logreg,609,1-2,0.8912280701754386,0.8,1
logreg,613,0-1,0.83859649122807,1.0,1
logreg,613,0-2,0.7526315789473684,1.0,1
logreg,613,1-2,0.7736842105263159,1.0,1
logreg,619,0-1,0.6473684210526316,1.0,1
logreg,619,0-2,0.8263157894736841,0.8,1
logreg,619,1-2,0.712280701754386,0.8,1
logreg,620,0-1,0.8614035087719297,0.8,1
logreg,620,0-2,0.882456140350877,1.0,1
logreg,620,1-2,0.8578947368421052,0.8,1
logreg,626,0-1,0.8666666666666666,0.8,1
logreg,626,0-2,0.8,0.6,1
logreg,626,1-2,0.9228070175438597,0.8,1
logreg,627,0-1,0.8035087719298245,1.0,1
logreg,627,0-2,0.7052631578947368,1.0,1
logreg,627,1-2,0.8508771929824561,1.0,1
logreg,637,0-1,0.5456140350877193,1.0,1
logreg,637,0-2,0.5684210526315789,0.8,1
logreg,637,1-2,0.5368421052631579,0.8,1
logreg,640,0-1,0.8754385964912281,0.8,1
logreg,640,0-2,0.6964912280701754,0.8,1
logreg,640,1-2,0.7157894736842104,1.0,1
logreg,667,0-1,0.9052631578947368,0.8,1
logreg,667,0-2,0.9140350877192982,0.8,1
logreg,667,1-2,0.9052631578947368,1.0,1
logreg,673,0-1,0.7473684210526316,1.0,1
logreg,673,0-2,0.8368421052631579,0.8,1
logreg,673,1-2,0.7894736842105263,0.8,1
logreg,687,0-1,0.9087719298245613,0.6,1
logreg,687,0-2,0.9175438596491228,0.8,1
logreg,687,1-2,0.8859649122807017,0.8,1
logreg,688,0-1,0.7456140350877193,0.8,0
logreg,688,0-2,0.8508771929824561,0.8,1
logreg,688,1-2,0.882456140350877,0.6,0
logreg,689,0-1,0.882456140350877,1.0,1
logreg,689,0-2,0.8719298245614034,0.8,1
logreg,689,1-2,0.9157894736842105,0.8,1
logreg,690,0-1,0.7701754385964912,0.8,1
logreg,690,0-2,0.7105263157894737,1.0,1
logreg,690,1-2,0.7508771929824561,0.8,1
logreg,693,0-1,0.7736842105263159,0.4,1
logreg,693,0-2,0.8421052631578947,0.6,1
logreg,693,1-2,0.8491228070175438,0.8,1
logreg,724,0-1,0.6631578947368422,0.8,1
logreg,724,0-2,0.6912280701754386,0.8,1
logreg,724,1-2,0.7087719298245614,0.8,1
logreg,732,0-1,0.8280701754385964,1.0,1
logreg,732,0-2,0.9122807017543859,1.0,1
logreg,732,1-2,0.8543859649122807,1.0,1
logreg,740,0-1,0.612280701754386,1.0,1
logreg,740,0-2,0.8087719298245614,1.0,1
logreg,740,1-2,0.7491228070175439,1.0,1
logreg,748,0-1,0.8964912280701753,0.8,1
logreg,748,0-2,0.8491228070175438,1.0,1
logreg,748,1-2,0.8508771929824561,0.8,1
logreg,751,0-1,0.6578947368421053,0.8,1
logreg,751,0-2,0.6842105263157895,0.6,1
logreg,751,1-2,0.780701754385965,0.8,1
logreg,752,0-1,0.882456140350877,0.8,1
logreg,752,0-2,0.887719298245614,1.0,1
logreg,752,1-2,0.8859649122807017,0.8,1
logreg,755,0-1,0.7912280701754386,0.8,1
logreg,755,0-2,0.8596491228070176,0.8,1
logreg,755,1-2,0.819298245614035,0.8,1
logreg,759,0-1,0.8543859649122807,0.8,1
logreg,759,0-2,0.8491228070175438,0.8,1
logreg,759,1-2,0.8578947368421052,1.0,1
logreg,766,0-1,0.9157894736842105,0.8,1
logreg,766,0-2,0.8421052631578947,1.0,1
logreg,766,1-2,0.8807017543859648,0.8,1
logreg,786,0-1,0.8210526315789475,0.8,1
logreg,786,0-2,0.8964912280701753,0.6,1
logreg,786,1-2,0.8894736842105263,0.8,1
logreg,790,0-1,0.8912280701754386,1.0,1
logreg,790,0-2,0.9631578947368421,1.0,1
logreg,790,1-2,0.9105263157894736,1.0,1
logreg,792,0-1,0.8684210526315789,1.0,1
logreg,792,0-2,0.7824561403508771,1.0,1
logreg,792,1-2,0.7684210526315789,1.0,1
logreg,809,0-1,0.9684210526315788,0.8,1
logreg,809,0-2,0.8929824561403509,0.8,1
logreg,809,1-2,0.8614035087719297,0.6,1
logreg,812,0-1,0.9315789473684211,0.8,1
logreg,812,0-2,0.9052631578947368,0.8,1
