modell,modszer,zajszint,ismetles,eset,spearman,top5_atfedes,top1_egyezes
logreg,shap,0.01,2,244,1.0,1.0,1
logreg,shap,0.01,2,261,1.0,1.0,1
logreg,shap,0.01,2,281,1.0,1.0,1
logreg,shap,0.01,2,289,1.0,1.0,1
logreg,shap,0.01,2,291,1.0,1.0,1
logreg,shap,0.01,2,311,1.0,1.0,1
logreg,shap,0.01,2,316,1.0,1.0,1
logreg,shap,0.01,2,325,0.9947368421052631,1.0,1
logreg,shap,0.01,2,332,1.0,1.0,1
logreg,shap,0.01,2,344,1.0,1.0,1
logreg,shap,0.01,2,364,1.0,1.0,1
logreg,shap,0.01,2,372,1.0,1.0,1
logreg,shap,0.01,2,375,1.0,1.0,1
logreg,shap,0.01,2,381,1.0,1.0,1
logreg,shap,0.01,2,398,1.0,1.0,1
logreg,shap,0.01,2,403,1.0,1.0,1
logreg,shap,0.01,2,407,1.0,1.0,1
logreg,shap,0.01,2,414,0.9964912280701754,1.0,1
logreg,shap,0.01,2,420,1.0,1.0,1
logreg,shap,0.01,2,423,1.0,1.0,1
logreg,shap,0.01,2,440,1.0,1.0,1
logreg,shap,0.01,2,442,1.0,1.0,1
logreg,shap,0.01,2,454,1.0,1.0,1
logreg,shap,0.01,2,457,1.0,1.0,1
logreg,shap,0.01,2,459,1.0,1.0,1
logreg,shap,0.01,2,464,1.0,1.0,1
logreg,shap,0.01,2,467,1.0,1.0,1
logreg,shap,0.01,2,471,1.0,1.0,1
logreg,shap,0.01,2,475,1.0,1.0,1
logreg,shap,0.01,2,480,1.0,1.0,1
logreg,shap,0.01,2,495,0.9982456140350877,1.0,1
logreg,shap,0.01,2,503,1.0,1.0,1
logreg,shap,0.01,2,506,1.0,1.0,1
logreg,shap,0.01,2,521,1.0,1.0,1
logreg,shap,0.01,2,523,1.0,1.0,1
logreg,shap,0.01,2,530,1.0,1.0,1
logreg,shap,0.01,2,547,1.0,1.0,1
logreg,shap,0.01,2,551,0.9982456140350877,1.0,1
logreg,shap,0.01,2,556,1.0,1.0,1
logreg,shap,0.01,2,558,1.0,1.0,1
logreg,shap,0.01,2,559,1.0,1.0,1
logreg,shap,0.01,2,562,1.0,1.0,1
logreg,shap,0.01,2,564,1.0,1.0,1
logreg,shap,0.01,2,572,0.9982456140350877,1.0,1
logreg,shap,0.01,2,582,1.0,1.0,1
logreg,shap,0.01,2,587,1.0,1.0,1
logreg,shap,0.01,2,590,1.0,1.0,1
logreg,shap,0.01,2,591,0.9982456140350877,1.0,1
logreg,shap,0.01,2,598,1.0,1.0,1
logreg,shap,0.01,2,605,1.0,1.0,1
logreg,shap,0.01,2,609,1.0,1.0,1
logreg,shap,0.01,2,613,1.0,1.0,1
logreg,shap,0.01,2,619,0.9982456140350877,1.0,0
logreg,shap,0.01,2,620,1.0,1.0,1
logreg,shap,0.01,2,626,1.0,1.0,1
logreg,shap,0.01,2,627,0.9982456140350877,1.0,1
logreg,shap,0.01,2,637,1.0,1.0,1
logreg,shap,0.01,2,640,1.0,1.0,1
logreg,shap,0.01,2,667,1.0,1.0,1
logreg,shap,0.01,2,673,1.0,1.0,1
logreg,shap,0.01,2,687,0.9982456140350877,0.8,1
logreg,shap,0.01,2,688,0.9982456140350877,1.0,1
logreg,shap,0.01,2,689,1.0,1.0,1
logreg,shap,0.01,2,690,1.0,1.0,1
logreg,shap,0.01,2,693,1.0,1.0,1
logreg,shap,0.01,2,724,1.0,1.0,1
logreg,shap,0.01,2,732,1.0,1.0,1
logreg,shap,0.01,2,740,0.9982456140350877,1.0,1
logreg,shap,0.01,2,748,0.9982456140350877,1.0,1
logreg,shap,0.01,2,751,1.0,1.0,1
logreg,shap,0.01,2,752,1.0,1.0,1
logreg,shap,0.01,2,755,0.9982456140350877,1.0,0
logreg,shap,0.01,2,759,0.9964912280701754,0.8,1
logreg,shap,0.01,2,766,1.0,1.0,1
logreg,shap,0.01,2,786,1.0,1.0,1
logreg,shap,0.01,2,790,1.0,1.0,1
logreg,shap,0.01,2,792,1.0,1.0,1
